price,datetime
1888.44749682,2021-06-21 23:59:59.999
1874.95002135,2021-06-22 23:59:59.999
1989.73627073,2021-06-23 23:59:59.999
1988.45627579,2021-06-24 23:59:59.999
1813.21723241,2021-06-25 23:59:59.999
1829.23921725,2021-06-26 23:59:59.999
1978.89466209,2021-06-27 23:59:59.999
2079.65743586,2021-06-28 23:59:59.999
2160.76835244,2021-06-29 23:59:59.999
2274.54771264,2021-06-30 23:59:59.999
2113.60552345,2021-07-01 23:59:59.999
2150.04036404,2021-07-02 23:59:59.999
2226.11428196,2021-07-03 23:59:59.999
2321.72411157,2021-07-04 23:59:59.999
2198.58246387,2021-07-05 23:59:59.999
2324.67944917,2021-07-06 23:59:59.999
2315.16197531,2021-07-07 23:59:59.999
2120.02634294,2021-07-08 23:59:59.999
2146.69232351,2021-07-09 23:59:59.999
2111.40345618,2021-07-10 23:59:59.999
2139.66474161,2021-07-11 23:59:59.999
2036.72101006,2021-07-12 23:59:59.999
1940.08396596,2021-07-13 23:59:59.999
1994.33133747,2021-07-14 23:59:59.999
1911.17561568,2021-07-15 23:59:59.999
1880.38298492,2021-07-16 23:59:59.999
1898.82521323,2021-07-17 23:59:59.999
1895.5521368,2021-07-18 23:59:59.999
1817.29665658,2021-07-19 23:59:59.999
1787.51071384,2021-07-20 23:59:59.999
1990.97088199,2021-07-21 23:59:59.999
2025.20278418,2021-07-22 23:59:59.999
2124.77667106,2021-07-23 23:59:59.999
2189.21874674,2021-07-24 23:59:59.999
2191.37373048,2021-07-25 23:59:59.999
2233.36662352,2021-07-26 23:59:59.999
2298.33346431,2021-07-27 23:59:59.999
2296.54549893,2021-07-28 23:59:59.999
2380.95675344,2021-07-29 23:59:59.999
2466.96151071,2021-07-30 23:59:59.999
2536.21003475,2021-07-31 23:59:59.999
2561.85215266,2021-08-01 23:59:59.999
2610.15342227,2021-08-02 23:59:59.999
2502.3495771,2021-08-03 23:59:59.999
2724.61989291,2021-08-04 23:59:59.999
2827.32894604,2021-08-05 23:59:59.999
2890.9417282,2021-08-06 23:59:59.999
3157.23877128,2021-08-07 23:59:59.999
3013.73275583,2021-08-08 23:59:59.999
3167.85622304,2021-08-09 23:59:59.999
3141.69117023,2021-08-10 23:59:59.999
3164.24504575,2021-08-11 23:59:59.999
3043.41434022,2021-08-12 23:59:59.999
3322.21175551,2021-08-13 23:59:59.999
3265.44335714,2021-08-14 23:59:59.999
3310.50417134,2021-08-15 23:59:59.999
3156.50942728,2021-08-16 23:59:59.999
3014.84603892,2021-08-17 23:59:59.999
3020.08992003,2021-08-18 23:59:59.999
3182.70222539,2021-08-19 23:59:59.999
3286.93532606,2021-08-20 23:59:59.999
3226.08393694,2021-08-21 23:59:59.999
3242.11555659,2021-08-22 23:59:59.999
3319.25727377,2021-08-23 23:59:59.999
3172.45639017,2021-08-24 23:59:59.999
3224.91517738,2021-08-25 23:59:59.999
3100.32543567,2021-08-26 23:59:59.999
3270.6008315,2021-08-27 23:59:59.999
3244.40326129,2021-08-28 23:59:59.999
3227.00277414,2021-08-29 23:59:59.999
3224.37414829,2021-08-30 23:59:59.999
3433.73278118,2021-08-31 23:59:59.999
3834.82800549,2021-09-01 23:59:59.999
3790.99008761,2021-09-02 23:59:59.999
3940.61473675,2021-09-03 23:59:59.999
3887.82849032,2021-09-04 23:59:59.999
3952.13349685,2021-09-05 23:59:59.999
3928.3794378,2021-09-06 23:59:59.999
3426.39431843,2021-09-07 23:59:59.999
3497.3151233,2021-09-08 23:59:59.999
3427.34018594,2021-09-09 23:59:59.999
3211.50584011,2021-09-10 23:59:59.999
3270.27812481,2021-09-11 23:59:59.999
3410.13459276,2021-09-12 23:59:59.999
3285.5117662639,2021-09-13 23:59:59.999
3429.1696365975,2021-09-14 23:59:59.999
3615.2826163789,2021-09-15 23:59:59.999
3571.2949350055,2021-09-16 23:59:59.999
3398.5387778215,2021-09-17 23:59:59.999
3432.018234624,2021-09-18 23:59:59.999
3329.4478948984,2021-09-19 23:59:59.999
2958.9935047283,2021-09-20 23:59:59.999
2764.431130865,2021-09-21 23:59:59.999
3077.8679805271,2021-09-22 23:59:59.999
3155.5237338612,2021-09-23 23:59:59.999
2931.6692167197,2021-09-24 23:59:59.999
2925.5656086902,2021-09-25 23:59:59.999
3062.2653558037,2021-09-26 23:59:59.999
2934.1387982986,2021-09-27 23:59:59.999
2807.2967397712,2021-09-28 23:59:59.999
2853.1433729159,2021-09-29 23:59:59.999
3001.6790517388,2021-09-30 23:59:59.999
3307.5160778952,2021-10-01 23:59:59.999
3391.6943469498,2021-10-02 23:59:59.999
3418.3586596174,2021-10-03 23:59:59.999
3380.0892003794,2021-10-04 23:59:59.999
3518.5185173668,2021-10-05 23:59:59.999
3580.562049118,2021-10-06 23:59:59.999
3587.974768108,2021-10-07 23:59:59.999
3563.7592193153,2021-10-08 23:59:59.999
3575.7168601111,2021-10-09 23:59:59.999
3425.8528528103,2021-10-10 23:59:59.999
3545.3540762503,2021-10-11 23:59:59.999
3492.5732717933,2021-10-12 23:59:59.999
3606.2015802322,2021-10-13 23:59:59.999
